mannerofdeath,armed,age,gender,race,state,mentalillness,threatlevel,flee,bodycamera
shot,gun,54,M,W,NH,TRUE,attack,Not fleeing,FALSE
shot,toy weapon,25,M,B,TX,FALSE,attack,Car,FALSE
shot and Tasered,knife,17,F,W,TX,TRUE,other,Not fleeing,FALSE
shot,knife,56,M,H,TX,FALSE,other,Not fleeing,FALSE
shot,gun,61,M,W,TX,TRUE,attack,Not fleeing,FALSE
shot,gun,45,M,W,ID,FALSE,attack,Not fleeing,FALSE
shot,knife,26,M,B,MD,TRUE,other,Not fleeing,FALSE
shot,gun,40,M,W,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,26,M,H,CO,FALSE,attack,Car,FALSE
shot,vehicle,17,F,H,CO,FALSE,other,Not fleeing,FALSE
shot,gun,68,M,W,MN,TRUE,attack,Not fleeing,FALSE
shot,unarmed,24,M,H,TX,FALSE,other,Car,FALSE
shot,knife,34,M,H,CA,TRUE,other,Not fleeing,FALSE
shot,knife,39,F,W,NE,TRUE,attack,Not fleeing,FALSE
shot,gun,29,M,W,AZ,FALSE,attack,Not fleeing,FALSE
shot,gun,33,M,B,OH,FALSE,attack,Not fleeing,FALSE
shot,gun,45,M,W,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,26,M,W,TX,FALSE,attack,Not fleeing,FALSE
shot and Tasered,hammer,35,M,A,CA,TRUE,attack,Not fleeing,FALSE
shot,gun,31,M,W,MI,TRUE,attack,Not fleeing,FALSE
shot,unarmed,42,M,W,OK,FALSE,other,Foot,FALSE
shot,gun,48,M,W,MT,FALSE,attack,Foot,FALSE
shot,gun,31,M,H,TX,FALSE,attack,Not fleeing,FALSE
shot and Tasered,knife,54,M,B,MD,TRUE,other,Not fleeing,FALSE
shot,unarmed,59,M,W,PA,FALSE,other,Foot,FALSE
shot,gun,42,M,W,CA,TRUE,attack,Not fleeing,FALSE
shot,gun,17,M,W,MI,FALSE,attack,Not fleeing,FALSE
shot,gun,23,M,B,MO,FALSE,attack,Foot,FALSE
shot,gun,38,F,B,CA,FALSE,attack,Car,FALSE
shot,knife,29,M,B,CA,TRUE,other,Not fleeing,FALSE
shot,gun,45,M,W,GA,TRUE,attack,Not fleeing,FALSE
shot,unarmed,28,M,B,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,37,M,H,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,28,M,H,AZ,FALSE,attack,Car,FALSE
shot,unarmed,28,M,H,AZ,FALSE,other,Not fleeing,FALSE
shot,gun,51,M,B,TX,FALSE,attack,Car,FALSE
shot,knife,36,M,B,TN,FALSE,other,Not fleeing,FALSE
shot,gun,59,M,W,CA,FALSE,other,Car,FALSE
shot,gun,25,M,B,OK,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,26,M,W,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,74,M,B,NC,FALSE,attack,Not fleeing,FALSE
shot,gun,33,M,W,AK,FALSE,attack,Car,FALSE
shot,gun,27,M,W,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,57,M,W,NY,TRUE,attack,Not fleeing,FALSE
shot,gun,46,M,W,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,41,M,W,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,61,M,W,ME,TRUE,undetermined,Not fleeing,FALSE
shot,gun,45,M,B,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,49,M,B,TN,FALSE,attack,Not fleeing,FALSE
shot,gun,45,M,W,CO,TRUE,attack,Car,FALSE
shot and Tasered,unarmed,35,M,H,WA,TRUE,other,Foot,FALSE
shot,knife,23,M,B,CA,TRUE,other,Not fleeing,FALSE
shot,toy weapon,46,M,W,AL,TRUE,attack,Foot,TRUE
shot,gun,21,M,H,KS,FALSE,attack,Car,FALSE
shot,unarmed,35,M,H,PA,FALSE,other,Not fleeing,FALSE
shot,gun,27,M,W,TN,FALSE,attack,Not fleeing,FALSE
shot,knife,37,M,H,AZ,TRUE,other,Not fleeing,FALSE
shot,gun,16,M,W,MD,TRUE,attack,Car,FALSE
shot,gun,51,M,W,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,34,M,W,MS,FALSE,attack,Foot,FALSE
shot,hatchet,34,M,W,OR,TRUE,other,Not fleeing,FALSE
shot and Tasered,unarmed,25,M,B,FL,TRUE,other,Not fleeing,FALSE
shot,gun,56,M,W,AZ,FALSE,attack,Not fleeing,FALSE
shot,gun,26,M,W,ID,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,24,M,W,UT,TRUE,attack,Not fleeing,FALSE
shot,gun,43,F,W,NC,FALSE,attack,Not fleeing,FALSE
shot,unarmed,31,M,W,MO,FALSE,other,Foot,FALSE
shot,gun,32,M,W,MI,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,30,M,W,MA,FALSE,attack,Foot,FALSE
shot,knife,20,F,B,NC,TRUE,other,Not fleeing,FALSE
shot,unarmed,31,M,H,TX,FALSE,other,Not fleeing,FALSE
shot,gun,38,M,B,AL,FALSE,attack,Not fleeing,FALSE
shot,gun,77,M,B,AL,TRUE,attack,Not fleeing,FALSE
shot,gun,41,M,W,NM,FALSE,attack,Not fleeing,FALSE
shot,knife,51,M,W,IN,FALSE,attack,Not fleeing,FALSE
shot,gun,50,M,W,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,47,M,W,LA,TRUE,attack,Not fleeing,FALSE
shot,knife,37,M,W,GA,FALSE,other,Not fleeing,FALSE
shot,gun,41,M,W,GA,FALSE,attack,Foot,FALSE
shot,gun,16,M,B,AL,FALSE,attack,Not fleeing,FALSE
shot and Tasered,knife,42,M,W,PA,FALSE,attack,Car,FALSE
shot and Tasered,unarmed,39,M,W,NE,FALSE,other,Not fleeing,FALSE
shot and Tasered,knife,30,M,W,WI,TRUE,attack,Not fleeing,FALSE
shot,gun,43,M,W,NV,TRUE,attack,Not fleeing,FALSE
shot,gun,42,M,H,FL,FALSE,attack,Foot,FALSE
shot,knife,21,M,H,CA,FALSE,other,Not fleeing,FALSE
shot,unarmed,49,M,W,MS,FALSE,other,Not fleeing,FALSE
shot,gun,34,F,W,GA,FALSE,attack,Car,FALSE
shot and Tasered,unarmed,31,M,W,IN,FALSE,other,Not fleeing,FALSE
shot,unarmed,27,M,H,CA,FALSE,undetermined,Not fleeing,FALSE
shot,gun,24,M,W,SC,FALSE,attack,Not fleeing,FALSE
shot,unarmed,34,M,B,MO,FALSE,other,Car,FALSE
shot,knife,28,F,H,AZ,FALSE,other,Not fleeing,FALSE
shot,gun,28,M,B,MO,FALSE,attack,Car,FALSE
shot,gun,40,M,B,NC,TRUE,attack,Car,FALSE
shot,gun,37,F,W,AZ,FALSE,attack,Car,FALSE
shot and Tasered,unarmed,17,M,W,MI,FALSE,attack,Not fleeing,TRUE
shot,gun,35,M,A,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,49,M,W,MS,FALSE,attack,Not fleeing,FALSE
shot and Tasered,unarmed,43,M,B,CA,TRUE,attack,Not fleeing,TRUE
shot,gun,20,M,B,IL,FALSE,other,Foot,FALSE
shot,gun,25,M,B,MD,FALSE,attack,Not fleeing,FALSE
shot,knife,25,M,W,AZ,FALSE,attack,Not fleeing,FALSE
shot,unarmed,26,M,W,FL,FALSE,other,Not fleeing,FALSE
shot,gun,28,M,A,CA,FALSE,attack,Not fleeing,FALSE
shot,knife,45,M,B,WI,TRUE,other,Not fleeing,FALSE
shot,unarmed,36,M,H,CA,FALSE,other,Car,FALSE
shot,gun,34,M,W,NE,FALSE,attack,Not fleeing,FALSE
shot,unarmed,19,M,B,WI,FALSE,attack,Foot,FALSE
shot,unarmed,37,M,B,CO,FALSE,undetermined,Foot,FALSE
shot,gun,29,M,W,AZ,FALSE,attack,Not fleeing,FALSE
shot,knife,43,F,B,CA,TRUE,other,Not fleeing,TRUE
shot,gun,40,M,H,OK,FALSE,attack,Not fleeing,FALSE
shot,unarmed,27,M,B,GA,TRUE,other,Not fleeing,FALSE
shot,gun,58,M,W,NC,FALSE,attack,Not fleeing,FALSE
shot,gun,46,M,W,CO,FALSE,attack,Not fleeing,FALSE
shot,gun,30,M,B,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,64,M,B,OH,FALSE,attack,Not fleeing,TRUE
shot,gun,31,M,B,LA,FALSE,attack,Not fleeing,FALSE
shot,knife,23,M,W,GA,FALSE,attack,Not fleeing,TRUE
shot,sword,37,M,H,CA,TRUE,other,Car,FALSE
shot,gun,31,M,W,TN,TRUE,attack,Not fleeing,FALSE
shot,gun,39,M,H,CA,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,31,M,W,AZ,TRUE,attack,Not fleeing,FALSE
shot,gun,54,M,W,AL,FALSE,attack,Not fleeing,FALSE
shot,gun,53,M,W,AL,TRUE,attack,Not fleeing,FALSE
shot,unarmed,35,M,B,DC,TRUE,other,Not fleeing,FALSE
shot,gun,41,M,H,CA,FALSE,other,Other,FALSE
shot,gun,59,M,W,MO,FALSE,attack,Not fleeing,FALSE
shot,knife,36,M,W,CA,FALSE,attack,Not fleeing,FALSE
shot,unarmed,32,M,H,CA,FALSE,other,Foot,FALSE
shot,knife,53,M,W,WV,FALSE,other,Not fleeing,FALSE
shot,gun,26,M,W,WI,FALSE,attack,Car,FALSE
shot,gun,29,M,H,TX,TRUE,attack,Not fleeing,FALSE
shot,machete,27,M,W,MS,FALSE,other,Not fleeing,FALSE
shot,gun,28,M,W,MN,TRUE,attack,Not fleeing,FALSE
shot,gun,52,M,W,NC,TRUE,attack,Not fleeing,FALSE
shot,gun,49,M,W,OR,TRUE,attack,Not fleeing,FALSE
shot,gun,24,M,W,NC,FALSE,attack,Foot,FALSE
shot,vehicle,24,F,W,CA,TRUE,other,Not fleeing,FALSE
shot,gun,20,M,W,TX,TRUE,attack,Not fleeing,FALSE
shot,unarmed,22,M,H,CA,FALSE,undetermined,Car,FALSE
shot,gun,49,F,W,AZ,FALSE,attack,Not fleeing,FALSE
shot,gun,64,M,W,FL,FALSE,attack,Not fleeing,FALSE
shot,knife,47,M,W,CA,FALSE,other,Not fleeing,FALSE
shot,box cutter,39,M,W,AL,TRUE,other,Not fleeing,TRUE
shot,unarmed,18,M,B,OH,FALSE,attack,Not fleeing,FALSE
shot,gun,31,M,W,ID,FALSE,attack,Not fleeing,TRUE
shot,gun,16,M,B,FL,FALSE,attack,Car,FALSE
shot,unarmed,20,M,W,WA,TRUE,attack,Not fleeing,FALSE
shot,gun,36,M,W,CA,FALSE,attack,Not fleeing,FALSE
shot,machete,63,M,B,LA,TRUE,attack,Not fleeing,FALSE
shot,gun,34,M,W,OK,FALSE,attack,Not fleeing,FALSE
shot,gun,24,M,N,AZ,FALSE,attack,Car,FALSE
shot,gun,21,M,W,AZ,FALSE,attack,Not fleeing,FALSE
shot,gun,44,M,W,NY,FALSE,attack,Car,FALSE
shot,gun,60,M,W,IN,TRUE,attack,Not fleeing,FALSE
shot,gun,42,M,W,OH,FALSE,attack,Not fleeing,FALSE
shot,knife,37,M,W,CA,TRUE,other,Not fleeing,FALSE
shot and Tasered,knife,36,M,W,OR,TRUE,other,Foot,FALSE
shot and Tasered,undetermined,21,M,B,NY,FALSE,attack,Car,FALSE
shot,gun,24,M,B,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,29,M,B,VA,TRUE,attack,Car,FALSE
shot,gun,57,M,W,CA,TRUE,attack,Not fleeing,FALSE
shot,gun,38,M,W,WI,FALSE,attack,Not fleeing,FALSE
shot,undetermined,23,M,B,GA,FALSE,other,Car,TRUE
shot,gun,27,M,B,SC,FALSE,attack,Foot,FALSE
shot,gun,28,M,H,CA,FALSE,attack,Foot,FALSE
shot and Tasered,gun,63,M,W,AZ,TRUE,other,Not fleeing,FALSE
shot,gun,53,F,W,KS,FALSE,attack,Not fleeing,FALSE
shot,knife,35,M,H,CA,TRUE,other,Not fleeing,FALSE
shot,knife,26,F,B,CA,FALSE,other,Not fleeing,FALSE
shot,gun,42,M,W,WV,FALSE,attack,Car,FALSE
shot,gun,41,M,B,MA,FALSE,attack,Not fleeing,FALSE
shot,gun,56,M,W,CA,TRUE,attack,Not fleeing,FALSE
shot,knife,39,M,B,FL,FALSE,other,Not fleeing,FALSE
shot,toy weapon,23,M,H,CA,FALSE,attack,Car,FALSE
shot,gun,40,M,W,MA,FALSE,attack,Foot,FALSE
shot,gun,29,M,B,KY,FALSE,attack,Not fleeing,FALSE
shot,gun,49,M,W,OR,TRUE,attack,Not fleeing,FALSE
shot,gun,36,M,W,FL,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,21,M,H,TX,FALSE,attack,Not fleeing,FALSE
shot,vehicle,27,F,B,MD,FALSE,other,Car,FALSE
shot,gun,37,M,B,CA,FALSE,attack,Not fleeing,FALSE
shot,knife,36,M,W,NJ,FALSE,attack,Not fleeing,FALSE
shot,gun,32,M,B,IL,FALSE,attack,Foot,FALSE
shot,unarmed,44,M,B,OK,FALSE,other,Not fleeing,FALSE
shot,gun,27,M,W,LA,TRUE,attack,Not fleeing,FALSE
shot and Tasered,gun,63,M,W,IL,TRUE,attack,Not fleeing,FALSE
shot,knife,38,M,W,VA,FALSE,other,Not fleeing,TRUE
shot,gun,17,M,B,IL,FALSE,attack,Foot,FALSE
shot,gun,31,M,B,CA,FALSE,attack,Not fleeing,TRUE
shot,gun,34,M,W,NM,TRUE,attack,Car,FALSE
shot and Tasered,unarmed,50,M,B,SC,FALSE,other,Foot,FALSE
shot,knife,51,M,W,AZ,TRUE,other,Not fleeing,FALSE
shot,gun,56,M,W,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,23,M,W,IN,TRUE,attack,Not fleeing,FALSE
shot,gun,25,M,B,LA,FALSE,attack,Foot,FALSE
shot,gun,31,M,W,ID,FALSE,attack,Car,FALSE
shot,gun,32,M,W,OK,FALSE,attack,Car,FALSE
shot,gun,60,M,W,TX,FALSE,attack,Car,FALSE
shot,gun,39,M,H,CA,FALSE,attack,Foot,FALSE
shot,knife,28,M,A,CA,TRUE,other,Not fleeing,FALSE
shot,sword,22,M,W,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,29,M,B,IN,FALSE,attack,Car,FALSE
shot,gun,31,M,W,PA,TRUE,attack,Not fleeing,FALSE
shot,gun,28,M,W,SC,FALSE,attack,Not fleeing,FALSE
shot,knife,21,M,H,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,38,M,W,KS,FALSE,attack,Car,FALSE
shot,gun,66,M,W,OK,TRUE,attack,Not fleeing,TRUE
shot,gun,36,M,B,IN,FALSE,attack,Foot,TRUE
shot,machete,83,M,W,OK,TRUE,other,Not fleeing,FALSE
shot,gun,32,M,W,NC,TRUE,attack,Car,FALSE
shot,gun,27,M,H,IL,FALSE,attack,Not fleeing,FALSE
shot,undetermined,26,M,B,TX,FALSE,undetermined,Foot,FALSE
shot,machete,31,M,W,AR,TRUE,attack,Not fleeing,FALSE
shot,gun,22,M,B,FL,FALSE,undetermined,Foot,FALSE
shot,knife,41,M,B,SC,FALSE,attack,Not fleeing,FALSE
shot,unarmed,41,M,B,TX,FALSE,other,Car,FALSE
shot,toy weapon,51,M,W,MO,FALSE,attack,Car,TRUE
shot,gun,72,M,W,CO,TRUE,attack,Not fleeing,FALSE
shot,toy weapon,52,M,H,CA,TRUE,attack,Not fleeing,FALSE
shot,knife,47,M,H,CA,FALSE,other,Not fleeing,FALSE
shot,gun,18,M,B,IL,FALSE,attack,Foot,FALSE
shot,gun,29,M,H,CA,FALSE,attack,Not fleeing,FALSE
shot,knife,23,M,B,MO,TRUE,other,Not fleeing,TRUE
shot,gun,43,M,H,AZ,TRUE,attack,Not fleeing,FALSE
shot,gun,45,M,W,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,40,M,W,KY,TRUE,attack,Not fleeing,FALSE
shot,knife,44,M,W,NE,FALSE,attack,Not fleeing,FALSE
shot,gun,25,M,H,TX,FALSE,other,Not fleeing,FALSE
shot,unarmed,37,M,N,WA,TRUE,other,Foot,FALSE
shot,knife,59,M,W,SC,TRUE,other,Not fleeing,FALSE
shot,knife,35,M,H,CA,TRUE,other,Not fleeing,FALSE
shot,unarmed,18,M,B,VA,FALSE,undetermined,Not fleeing,FALSE
shot,knife,51,M,H,AZ,FALSE,other,Not fleeing,FALSE
shot,gun,30,M,W,NY,TRUE,attack,Foot,FALSE
shot,gun,31,M,B,TX,FALSE,attack,Foot,FALSE
shot,gun,39,M,A,CO,FALSE,attack,Not fleeing,FALSE
shot,gun,26,M,W,CA,TRUE,attack,Not fleeing,FALSE
shot,gun,51,M,W,OK,FALSE,attack,Not fleeing,FALSE
shot,unarmed,19,M,H,CA,FALSE,other,Not fleeing,FALSE
shot,gun,49,M,W,OR,FALSE,attack,Not fleeing,FALSE
shot,gun,63,M,W,OK,FALSE,attack,Car,FALSE
shot,gun,20,M,B,CO,FALSE,attack,Foot,TRUE
shot,machete,25,M,W,TX,TRUE,other,Not fleeing,TRUE
shot,unarmed,24,M,B,NY,TRUE,attack,Foot,FALSE
shot,knife,58,M,W,FL,TRUE,other,Not fleeing,FALSE
shot,unarmed,29,M,W,OK,FALSE,attack,Not fleeing,FALSE
shot,gun,76,M,W,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,45,M,W,CA,FALSE,attack,Not fleeing,FALSE
shot,hammer,20,M,B,MI,FALSE,other,Not fleeing,FALSE
shot,gun,58,M,W,OH,FALSE,attack,Not fleeing,FALSE
shot,gun,21,M,B,LA,FALSE,attack,Not fleeing,TRUE
shot,gun,27,M,W,IL,TRUE,attack,Not fleeing,FALSE
shot,knife,26,M,W,OK,FALSE,other,Foot,FALSE
shot,gun,33,M,H,AZ,TRUE,attack,Not fleeing,FALSE
shot,gun,27,M,H,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,25,F,B,GA,FALSE,attack,Not fleeing,FALSE
shot,gun,53,M,B,VA,TRUE,attack,Not fleeing,FALSE
shot,gun,53,M,W,TN,TRUE,attack,Not fleeing,FALSE
shot,unarmed,42,M,O,CA,TRUE,other,Not fleeing,TRUE
shot and Tasered,metal object,22,M,H,TX,FALSE,other,Not fleeing,FALSE
shot,gun,52,M,W,DE,FALSE,attack,Not fleeing,TRUE
shot,gun,36,M,W,UT,TRUE,attack,Not fleeing,TRUE
shot,gun,30,M,B,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,34,M,O,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,44,M,H,NM,FALSE,attack,Not fleeing,FALSE
shot,gun,53,M,W,KY,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,36,M,W,WA,TRUE,attack,Not fleeing,FALSE
shot,unarmed,29,M,B,CA,FALSE,attack,Not fleeing,TRUE
shot,knife,32,M,A,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,46,M,W,VA,TRUE,attack,Not fleeing,FALSE
shot,gun,18,M,W,NC,FALSE,attack,Car,FALSE
shot,knife,38,M,W,NY,FALSE,other,Car,FALSE
shot,sword,35,M,W,AZ,FALSE,attack,Not fleeing,FALSE
shot,gun,58,M,W,NY,TRUE,attack,Not fleeing,FALSE
shot,gun,48,M,B,LA,FALSE,attack,Not fleeing,FALSE
shot,gun,47,M,W,WA,FALSE,attack,Not fleeing,FALSE
shot,knife,28,M,W,FL,TRUE,other,Not fleeing,FALSE
shot,gun,28,M,B,FL,FALSE,other,Foot,FALSE
shot,undetermined,40,M,W,CA,TRUE,other,Not fleeing,FALSE
shot and Tasered,gun,46,M,O,HI,FALSE,attack,Not fleeing,FALSE
shot,gun,37,M,W,MI,TRUE,attack,Car,FALSE
shot,gun,53,M,W,FL,TRUE,attack,Not fleeing,FALSE
shot,gun,41,M,W,IL,TRUE,attack,Not fleeing,FALSE
shot,toy weapon,42,M,W,CA,TRUE,attack,Not fleeing,FALSE
shot,gun,45,M,B,IL,FALSE,attack,Foot,FALSE
shot,gun,34,M,W,CA,TRUE,attack,Foot,TRUE
shot,gun,18,M,W,FL,TRUE,attack,Not fleeing,FALSE
shot,sword,27,M,W,NM,FALSE,other,Not fleeing,FALSE
shot,unarmed,54,M,H,VA,FALSE,attack,Not fleeing,FALSE
shot,gun,35,M,W,AR,FALSE,attack,Not fleeing,FALSE
shot,gun,17,M,W,CO,FALSE,attack,Other,FALSE
shot,gun,29,M,B,PA,FALSE,attack,Not fleeing,FALSE
shot,gun,38,M,B,KY,FALSE,attack,Not fleeing,FALSE
shot,gun,26,M,B,NE,FALSE,attack,Not fleeing,FALSE
shot and Tasered,knife,52,M,W,OH,FALSE,other,Not fleeing,FALSE
shot and Tasered,knife,39,F,W,WY,FALSE,other,Car,FALSE
shot,gun,22,M,H,TX,TRUE,undetermined,Not fleeing,FALSE
shot,knife,29,M,B,FL,FALSE,attack,Not fleeing,FALSE
shot,knife,43,M,W,SC,FALSE,attack,Not fleeing,FALSE
shot,knife,24,M,H,NJ,TRUE,other,Not fleeing,FALSE
shot,gun,32,M,B,SC,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,40,M,W,PA,FALSE,attack,Not fleeing,FALSE
shot,gun,47,M,W,MO,FALSE,attack,Not fleeing,FALSE
shot,gun,40,M,W,AZ,FALSE,attack,Car,FALSE
shot,gun,25,M,B,MI,TRUE,attack,Not fleeing,FALSE
shot,gun,31,F,W,TX,TRUE,attack,Not fleeing,FALSE
shot,knife,36,M,B,AL,TRUE,attack,Not fleeing,FALSE
shot,gun,51,M,B,NY,FALSE,attack,Not fleeing,FALSE
shot,undetermined,24,M,W,LA,FALSE,attack,Not fleeing,FALSE
shot,gun,62,M,W,WA,TRUE,attack,Not fleeing,FALSE
shot,knife,39,M,W,NJ,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,24,M,W,OK,TRUE,attack,Not fleeing,FALSE
shot,knife,57,M,W,GA,TRUE,attack,Not fleeing,FALSE
shot and Tasered,unarmed,20,M,O,CA,FALSE,other,Not fleeing,FALSE
shot and Tasered,screwdriver,33,M,W,CA,TRUE,other,Not fleeing,FALSE
shot,gun,60,M,W,SC,FALSE,attack,Not fleeing,FALSE
shot,gun,32,M,B,CO,FALSE,attack,Not fleeing,FALSE
shot,gun,40,M,B,GA,FALSE,attack,Not fleeing,FALSE
shot and Tasered,lawn mower blade,18,M,W,MI,FALSE,attack,Not fleeing,FALSE
shot,knife,36,M,B,NJ,FALSE,other,Not fleeing,FALSE
shot,gun,35,M,W,OK,FALSE,attack,Not fleeing,FALSE
shot,gun,55,M,W,OR,FALSE,attack,Not fleeing,FALSE
shot,unarmed,19,M,W,AZ,FALSE,attack,Foot,FALSE
shot,toy weapon,39,M,H,TN,FALSE,attack,Not fleeing,FALSE
shot,toy weapon,47,M,W,TX,FALSE,attack,Not fleeing,TRUE
shot,gun,23,M,W,NY,TRUE,attack,Other,FALSE
shot,knife,26,M,B,MA,FALSE,other,Not fleeing,FALSE
shot,knife,26,M,W,TX,TRUE,attack,Not fleeing,FALSE
shot,gun,18,M,H,TX,TRUE,attack,Car,FALSE
shot,knife,33,M,H,TX,FALSE,other,Car,FALSE
shot,gun,56,M,W,NJ,TRUE,attack,Not fleeing,FALSE
shot,gun,46,M,H,CA,FALSE,attack,Car,FALSE
shot and Tasered,unarmed,36,M,H,NM,FALSE,attack,Not fleeing,FALSE
shot,gun,50,M,H,CA,FALSE,attack,Not fleeing,FALSE
shot,vehicle,45,F,W,WV,FALSE,other,Car,FALSE
shot,gun,53,M,W,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,45,M,H,CA,FALSE,attack,Foot,FALSE
shot,box cutter,42,M,W,TX,TRUE,other,Not fleeing,FALSE
shot,gun,27,M,H,CO,FALSE,attack,Car,FALSE
shot and Tasered,gun,30,M,B,CA,FALSE,attack,Not fleeing,TRUE
shot,gun,36,M,W,FL,FALSE,attack,Not fleeing,FALSE
shot,gun,58,M,W,WA,TRUE,attack,Not fleeing,FALSE
shot,knife,30,M,H,CA,TRUE,other,Not fleeing,TRUE
shot,gun,69,M,W,AZ,TRUE,attack,Not fleeing,FALSE
shot,unarmed,30,M,W,OH,FALSE,attack,Not fleeing,FALSE
shot,gun,45,M,W,TX,FALSE,attack,Car,FALSE
shot,gun,22,M,B,OH,FALSE,attack,Not fleeing,FALSE
shot,unarmed,28,M,W,IA,FALSE,other,Car,FALSE
shot,gun,19,M,B,NY,FALSE,attack,Not fleeing,FALSE
shot,gun,40,M,B,FL,FALSE,attack,Not fleeing,FALSE
shot,undetermined,46,M,B,FL,FALSE,other,Not fleeing,FALSE
shot,gun,28,M,H,TX,TRUE,attack,Not fleeing,FALSE
